timestamp,rssi,ack_status,label
1744556662,-65.1,1,Normal
1744557363,-108.89,0,Jammed
1744545333,-59.89,1,Normal
1744541728,-53.23,1,Normal
1744561198,-26.84,0,Jammed
1744560428,-95.44,0,Jammed
1744554024,-56.57,1,Normal
1744571219,-33.03,0,Jammed
1744560248,-77.0,0,Jammed
1744558070,-29.48,1,Jammed
1744548869,-29.8,0,Jammed
1744568822,-76.13,0,Jammed
1744567203,-27.52,0,Jammed
1744568972,-31.04,0,Jammed
1744569002,-29.46,1,Jammed
1744551709,-55.82,0,Normal
1744549405,-73.09,0,Jammed
1744550715,-25.06,0,Jammed
1744558814,-29.64,0,Jammed
1744553295,-60.27,1,Normal
1744546402,-55.89,1,Normal
1744547812,-30.81,1,Jammed
1744545256,-55.47,1,Normal
1744564728,-61.24,1,Normal
1744547214,-111.33,1,Jammed
1744549868,-72.09,0,Jammed
1744554161,-60.13,1,Normal
1744546990,-29.26,0,Jammed
1744545391,-61.45,1,Normal
1744567781,-29.78,1,Jammed
1744547545,-30.7,0,Jammed
1744570667,-102.43,1,Jammed
1744566400,-69.54,1,Normal
1744564222,-54.62,1,Normal
1744546763,-81.86,0,Jammed
1744559700,-34.37,0,Jammed
1744571464,-96.96,1,Jammed
1744567131,-29.19,0,Jammed
1744563517,-58.99,1,Normal
1744547254,-31.21,0,Jammed
1744547104,-32.21,0,Jammed
1744541932,-73.62,1,Normal
1744553796,-63.88,1,Normal
1744567651,-89.12,0,Jammed
1744560851,-32.9,1,Jammed
1744551168,-32.21,0,Jammed
1744548261,-92.54,0,Jammed
1744550818,-86.14,1,Jammed
1744556602,-58.07,1,Normal
1744554689,-60.78,1,Normal
1744562467,-53.44,1,Normal
1744571483,-86.43,0,Jammed
1744548507,-30.37,1,Jammed
1744559765,-88.74,0,Jammed
1744556718,-29.31,0,Jammed
1744549523,-31.77,0,Jammed
1744567114,-88.28,0,Jammed
1744568944,-94.88,0,Jammed
1744568728,-80.94,0,Jammed
1744542508,-64.64,1,Normal
1744560143,-75.59,0,Jammed
1744558864,-29.78,0,Jammed
1744564635,-68.94,1,Normal
1744557626,-25.85,0,Jammed
1744566126,-47.79,1,Normal
1744571368,-31.39,0,Jammed
1744555165,-61.31,1,Normal
1744544520,-59.12,1,Normal
1744567738,-93.57,1,Jammed
1744552459,-51.58,1,Normal
1744551715,-56.63,1,Normal
1744552786,-59.43,1,Normal
1744558880,-87.91,0,Jammed
1744553459,-68.72,1,Normal
1744557156,-30.62,1,Jammed
1744551403,-91.22,1,Jammed
1744562147,-57.87,1,Normal
1744548331,-99.57,1,Jammed
1744561681,-27.05,0,Jammed
1744551375,-92.03,0,Jammed
1744570361,-77.34,1,Jammed
1744553577,-53.96,1,Normal
1744567170,-29.94,0,Jammed
1744554867,-63.69,1,Normal
1744542981,-54.49,1,Normal
1744561091,-90.19,0,Jammed
1744547978,-28.61,1,Jammed
1744550627,-30.68,0,Jammed
1744570592,-34.13,1,Jammed
1744571698,-97.96,1,Jammed
1744557548,-33.4,0,Jammed
1744553240,-64.29,1,Normal
1744551514,-29.07,0,Jammed
1744548547,-91.21,1,Jammed
1744560598,-33.35,0,Jammed
1744563415,-63.48,1,Normal
1744548230,-103.33,1,Jammed
1744559108,-28.75,0,Jammed
1744564107,-47.09,1,Normal
1744553421,-63.17,1,Normal
1744552466,-54.66,1,Normal
1744551758,-60.48,1,Normal
1744546003,-59.56,0,Normal
1744550190,-31.56,0,Jammed
1744557164,-27.7,0,Jammed
